,text,hour,date,minute,sentiment_compound_polarity,sentiment_neutral,sentiment_negative,sentiment_pos,sentiment_type
0,RT @googleseodeepak: @IRCTC_Ltd @narendramodi @RailMinIndia @sureshpprabhu Modi Sir is Promting #cashlessPayment and #irctc looting customer,22,12/8/2016,41,0,1,0,0,NEUTRAL
1,RT @narendramodi: Noteworthy incentives to increase cashless transactions &amp; eliminate any scope for corruption and black money.…,22,12/8/2016,42,0.5574,0.765,0,0.235,POSITIVE
2,RT @TruthOfGujarat: Modi Sarkar..Murdabad..slogans. Watch how there are no political flags. The 'aam janta' is expressing their anger w…,22,12/8/2016,42,-0.7096,0.742,0.258,0,NEGATIVE
3,"RT @madhukishwar: Almoat all Coaching Centres which charge hefty fee insist on payment in cash. Refuse PayTM, cheque &amp;card payment.Big sour…",22,12/8/2016,42,-0.296,0.901,0.099,0,NEGATIVE
4,"RT @ajitbhinder: PM Modi-Only politician since 47-hasn't used religion, caste, Reservation4electoral gains-has focused on development4all-a…",22,12/8/2016,42,0.3818,0.843,0,0.157,POSITIVE
5,RT @ArvindKejriwal: Do watch this interview. It gives answers to many questions on demonitization https://t.co/nknIdgkdE2,22,12/8/2016,42,0,1,0,0,NEUTRAL
6,"RT @ShirishKunder: The aim of DeMonetisation - Black money.
"" - Cashless economy.
"" - Fitness through standing exercise &amp; diet control.
"" -…",22,12/8/2016,42,0.2732,0.89,0,0.11,POSITIVE
7,"@swagata_y that's little degree of inconvenience in fight against black money - modi 
#IndiaDefeatsBlackMoney #demonitisationdisaster",22,12/8/2016,42,-0.5908,0.713,0.287,0,NEGATIVE
8,RT @AuthorNinaPerez: @LeslieMac He should just say he doesn't trust black people w/ money and keep it moving.,22,12/8/2016,42,-0.4023,0.863,0.137,0,NEGATIVE
9,RT @RoflGandhi_: And this has been achieved at the cost of over 100 lives and a slowdown loss of 1.28 Lac Cr. Small inconvenience. https://…,22,12/8/2016,42,-0.5859,0.821,0.179,0,NEGATIVE
10,"@abdullah_omar Sorry to mention I'm not going with ur option I will go with ""None of the above"" or ""Modi a foolish PM of India"".",22,12/8/2016,42,-0.34,0.861,0.139,0,NEGATIVE
11,Ok yea i spent money on black friday... https://t.co/GDicpwuGEH,22,12/8/2016,42,0.296,0.761,0,0.239,POSITIVE
12,"RT @narendramodi: I salute the people of India for wholeheartedly participating in this ongoing Yagna against corruption, terrorism &amp; black…",22,12/8/2016,42,-0.6808,0.796,0.204,0,NEGATIVE
13,RT @JantaKaReporter: Has Modi govt indeed hired a blacklisted company to supply papers for new currency notes? Here's the truth! https://t.…,22,12/8/2016,42,0.3802,0.88,0,0.12,POSITIVE
14,RT @IndiaExplained: Bhakt reaction on Modi losing POTY https://t.co/cJ6bHJY3PB,22,12/8/2016,42,-0.3818,0.755,0.245,0,NEGATIVE
15,"@BDUTT @Pawankhera If deposits are less than 15.4, some black money destructed; if same or even higher, Annual Tax base increases for future",22,12/8/2016,42,-0.4404,0.884,0.116,0,NEGATIVE
16,"RT @AllWolfNoSheep: Interesting. White women's proximity to blackness helps elevate their brands, but if black women are part of it, it…",22,12/8/2016,42,0.3919,0.839,0,0.161,POSITIVE
